tFirst,tSecond,type
2013-09-16 05:44:45,2013-09-16 19:15:38,1
2013-09-16 19:15:38,2013-09-17 05:44:10,2
2013-09-17 05:44:10,2013-09-17 19:11:10,1
2013-09-17 19:11:10,2013-09-18 05:53:00,2
2013-09-18 05:53:00,2013-09-18 19:07:10,1
2013-09-18 19:07:10,2013-09-19 05:44:10,2
2013-09-19 05:44:10,2013-09-19 19:02:53,1
2013-09-19 19:02:53,2013-09-20 05:43:37,2
2013-09-20 05:43:37,2013-09-20 19:09:56,1
2013-09-20 19:09:56,2013-09-21 05:43:37,2
2013-09-21 05:43:37,2013-09-21 18:59:58,1
2013-09-21 18:59:58,2013-09-22 05:52:22,2
2013-09-22 05:52:22,2013-09-22 18:57:16,1
2013-09-22 18:57:16,2013-09-23 05:53:36,2
2013-09-23 05:53:36,2013-09-23 18:46:46,1
2013-09-23 18:46:46,2013-09-24 05:53:36,2
2013-09-24 05:53:36,2013-09-24 19:01:46,1
2013-09-24 19:01:46,2013-09-25 05:44:50,2
2013-09-25 05:44:50,2013-09-25 18:47:09,1
2013-09-25 18:47:09,2013-09-26 05:54:48,2
2013-09-26 05:54:48,2013-09-26 18:47:25,1
2013-09-26 18:47:25,2013-09-27 05:57:59,2
2013-09-27 05:57:59,2013-09-27 18:55:36,1
2013-09-27 18:55:36,2013-09-28 05:57:36,2
2013-09-28 05:57:36,2013-09-28 18:46:01,1
2013-09-28 18:46:01,2013-09-29 05:59:47,2
2013-09-29 05:59:47,2013-09-29 18:41:08,1
2013-09-29 18:41:08,2013-09-30 06:02:58,2
2013-09-30 06:02:58,2013-09-30 18:45:35,1
2013-09-30 18:45:35,2013-10-01 05:59:49,2
2013-10-01 05:59:49,2013-10-01 18:45:35,1
2013-10-01 18:45:35,2013-10-02 05:56:52,2
2013-10-02 05:56:52,2013-10-02 18:37:08,1
2013-10-02 18:37:08,2013-10-03 06:01:30,2
2013-10-03 06:01:30,2013-10-03 18:41:45,1
2013-10-03 18:41:45,2013-10-04 05:59:07,2
2013-10-04 05:59:07,2013-10-04 18:45:34,1
2013-10-04 18:45:34,2013-10-05 05:59:48,2
2013-10-05 05:59:48,2013-10-05 18:41:07,1
2013-10-05 18:41:07,2013-10-06 05:54:48,2
2013-10-06 05:54:48,2013-10-06 18:39:55,1
2013-10-06 18:39:55,2013-10-07 05:57:57,2
2013-10-07 05:57:57,2013-10-07 18:36:18,1
2013-10-07 18:36:18,2013-10-08 06:05:55,2
2013-10-08 06:05:55,2013-10-08 18:35:34,1
2013-10-08 18:35:34,2013-10-09 05:59:48,2
2013-10-09 05:59:48,2013-10-09 18:34:52,1
2013-10-09 18:34:52,2013-10-10 06:03:22,2
2013-10-10 06:03:22,2013-10-10 18:30:59,1
2013-10-10 18:30:59,2013-10-11 06:12:33,2
2013-10-11 06:12:33,2013-10-11 18:27:06,1
2013-10-11 18:27:06,2013-10-12 06:13:40,2
2013-10-12 06:13:40,2013-10-12 18:23:11,1
2013-10-12 18:23:11,2013-10-13 06:17:49,2
2013-10-13 06:17:49,2013-10-13 18:31:06,1
2013-10-13 18:31:06,2013-10-14 06:16:28,2
2013-10-14 06:16:28,2013-10-14 18:24:52,1
2013-10-14 18:24:52,2013-10-15 06:17:48,2
2013-10-15 06:17:48,2013-10-15 18:28:10,1
2013-10-15 18:28:10,2013-10-16 06:08:39,2
2013-10-16 06:08:39,2013-10-16 18:25:58,1
2013-10-16 18:25:58,2013-10-17 06:17:56,2
2013-10-17 06:17:56,2013-10-17 18:22:05,1
2013-10-17 18:22:05,2013-10-18 06:22:48,2
2013-10-18 06:22:48,2013-10-18 18:09:51,1
2013-10-18 18:09:51,2013-10-19 06:23:07,2
2013-10-19 06:23:07,2013-10-19 18:17:48,1
2013-10-19 18:17:48,2013-10-20 06:16:38,2
2013-10-20 06:16:38,2013-10-20 18:17:21,1
2013-10-20 18:17:21,2013-10-21 06:19:45,2
2013-10-21 06:19:45,2013-10-21 18:15:31,1
2013-10-21 18:15:31,2013-10-22 06:23:38,2
2013-10-22 06:23:38,2013-10-22 18:12:04,1
2013-10-22 18:12:04,2013-10-23 06:23:38,2
2013-10-23 06:23:38,2013-10-23 18:12:04,1
2013-10-23 18:12:04,2013-10-24 06:27:05,2
2013-10-24 06:27:05,2013-10-24 18:08:43,1
2013-10-24 18:08:43,2013-10-25 06:28:31,2
2013-10-25 06:28:31,2013-10-25 18:16:41,1
2013-10-25 18:16:41,2013-10-26 06:14:45,2
2013-10-26 06:14:45,2013-10-26 18:09:49,1
2013-10-26 18:09:49,2013-10-27 06:18:37,2
2013-10-27 06:18:37,2013-10-27 18:07:46,1
2013-10-27 18:07:46,2013-10-28 06:22:03,2
2013-10-28 06:22:03,2013-10-28 18:05:30,1
2013-10-28 18:05:30,2013-10-29 06:30:18,2
2013-10-29 06:30:18,2013-10-29 18:03:42,1
2013-10-29 18:03:42,2013-10-30 06:19:44,2
2013-10-30 06:19:44,2013-10-30 18:03:50,1
2013-10-30 18:03:50,2013-10-31 06:26:02,2
2013-10-31 06:26:02,2013-10-31 18:06:14,1
2013-10-31 18:06:14,2013-11-01 06:24:02,2
2013-11-01 06:24:02,2013-11-01 18:14:48,1
2013-11-01 18:14:48,2013-11-02 06:28:36,2
2013-11-02 06:28:36,2013-11-02 18:03:36,1
2013-11-02 18:03:36,2013-11-03 06:29:43,2
2013-11-03 06:29:43,2013-11-03 18:04:48,1
2013-11-03 18:04:48,2013-11-04 06:26:46,2
2013-11-04 06:26:46,2013-11-04 18:02:02,1
2013-11-04 18:02:02,2013-11-05 06:34:43,2
2013-11-05 06:34:43,2013-11-05 17:57:45,1
2013-11-05 17:57:45,2013-11-06 06:24:02,2
2013-11-06 06:24:02,2013-11-06 18:00:55,1
2013-11-06 18:00:55,2013-11-07 06:29:40,2
2013-11-07 06:29:40,2013-11-07 17:59:49,1
2013-11-07 17:59:49,2013-11-08 06:34:01,2
2013-11-08 06:34:01,2013-11-08 17:55:54,1
2013-11-08 17:55:54,2013-11-09 06:31:10,2
2013-11-09 06:31:10,2013-11-09 17:59:54,1
2013-11-09 17:59:54,2013-11-10 06:39:35,2
2013-11-10 06:39:35,2013-11-10 17:54:49,1
2013-11-10 17:54:49,2013-11-11 06:37:28,2
2013-11-11 06:37:28,2013-11-11 18:00:28,1
2013-11-11 18:00:28,2013-11-12 06:36:34,2
2013-11-12 06:36:34,2013-11-12 18:00:27,1
2013-11-12 18:00:27,2013-11-13 06:37:50,2
2013-11-13 06:37:50,2013-11-13 18:00:27,1
2013-11-13 18:00:27,2013-11-14 06:31:44,2
2013-11-14 06:31:44,2013-11-14 17:59:48,1
2013-11-14 17:59:48,2013-11-15 06:37:11,2
2013-11-15 06:37:11,2013-11-15 17:59:46,1
2013-11-15 17:59:46,2013-11-16 06:42:51,2
2013-11-16 06:42:51,2013-11-16 17:59:46,1
2013-11-16 17:59:46,2013-11-17 06:43:27,2
2013-11-17 06:43:27,2013-11-17 17:46:57,1
2013-11-17 17:46:57,2013-11-18 06:38:33,2
2013-11-18 06:38:33,2013-11-18 17:50:26,1
2013-11-18 17:50:26,2013-11-19 06:45:47,2
2013-11-19 06:45:47,2013-11-19 17:55:52,1
2013-11-19 17:55:52,2013-11-20 06:43:59,2
2013-11-20 06:43:59,2013-11-20 17:51:24,1
2013-11-20 17:51:24,2013-11-21 06:44:40,2
2013-11-21 06:44:40,2013-11-21 17:42:15,1
2013-11-21 17:42:15,2013-11-22 06:53:59,2
2013-11-22 06:53:59,2013-11-22 17:41:36,1
2013-11-22 17:41:36,2013-11-23 06:55:58,2
2013-11-23 06:55:58,2013-11-23 17:39:45,1
2013-11-23 17:39:45,2013-11-24 06:48:25,2
2013-11-24 06:48:25,2013-11-24 17:49:44,1
2013-11-24 17:49:44,2013-11-25 06:44:39,2
2013-11-25 06:44:39,2013-11-25 17:50:58,1
2013-11-25 17:50:58,2013-11-26 06:45:51,2
2013-11-26 06:45:51,2013-11-26 17:50:25,1
2013-11-26 17:50:25,2013-11-27 06:46:42,2
2013-11-27 06:46:42,2013-11-27 17:43:32,1
2013-11-27 17:43:32,2013-11-28 06:53:25,2
2013-11-28 06:53:25,2013-11-28 17:40:25,1
2013-11-28 17:40:25,2013-11-29 06:48:14,2
2013-11-29 06:48:14,2013-11-29 17:45:50,1
2013-11-29 17:45:50,2013-11-30 06:53:24,2
2013-11-30 06:53:24,2013-11-30 17:46:59,1
2013-11-30 17:46:59,2013-12-01 06:54:36,2
2013-12-01 06:54:36,2013-12-01 17:41:33,1
2013-12-01 17:41:33,2013-12-02 06:49:38,2
2013-12-02 06:49:38,2013-12-02 17:52:40,1
2013-12-02 17:52:40,2013-12-03 06:57:24,2
2013-12-03 06:57:24,2013-12-03 17:51:34,1
2013-12-03 17:51:34,2013-12-04 06:53:31,2
2013-12-04 06:53:31,2013-12-04 17:44:43,1
2013-12-04 17:44:43,2013-12-05 06:54:37,2
2013-12-05 06:54:37,2013-12-05 17:50:49,1
2013-12-05 17:50:49,2013-12-06 06:53:56,2
2013-12-06 06:53:56,2013-12-06 17:45:23,1
2013-12-06 17:45:23,2013-12-07 06:58:23,2
2013-12-07 06:58:23,2013-12-07 17:41:33,1
2013-12-07 17:41:33,2013-12-08 07:03:23,2
2013-12-08 07:03:23,2013-12-08 17:50:23,1
2013-12-08 17:50:23,2013-12-09 06:58:30,2
2013-12-09 06:58:30,2013-12-09 17:48:14,1
2013-12-09 17:48:14,2013-12-10 07:02:23,2
2013-12-10 07:02:23,2013-12-10 17:44:42,1
2013-12-10 17:44:42,2013-12-11 07:07:22,2
2013-12-11 07:07:22,2013-12-11 17:42:38,1
2013-12-11 17:42:38,2013-12-12 07:08:22,2
2013-12-12 07:08:22,2013-12-12 17:40:55,1
2013-12-12 17:40:55,2013-12-13 07:08:29,2
2013-12-13 07:08:29,2013-12-13 17:47:38,1
2013-12-13 17:47:38,2013-12-14 07:03:29,2
2013-12-14 07:03:29,2013-12-14 17:52:38,1
2013-12-14 17:52:38,2013-12-15 07:04:36,2
2013-12-15 07:04:36,2013-12-15 17:50:55,1
2013-12-15 17:50:55,2013-12-16 07:04:36,2
2013-12-16 07:04:36,2013-12-16 17:49:40,1
2013-12-16 17:49:40,2013-12-17 07:12:44,2
2013-12-17 07:12:44,2013-12-17 17:45:21,1
2013-12-17 17:45:21,2013-12-18 07:09:33,2
2013-12-18 07:09:33,2013-12-18 17:45:47,1
2013-12-18 17:45:47,2013-12-19 07:13:54,2
2013-12-19 07:13:54,2013-12-19 17:55:21,1
2013-12-19 17:55:21,2013-12-20 07:05:53,2
2013-12-20 07:05:53,2013-12-20 17:55:21,1
2013-12-20 17:55:21,2013-12-21 07:01:16,2
2013-12-21 07:01:16,2013-12-21 17:56:05,1
2013-12-21 17:56:05,2013-12-22 07:04:34,2
2013-12-22 07:04:34,2013-12-22 17:57:36,1
2013-12-22 17:57:36,2013-12-23 07:04:32,2
2013-12-23 07:04:32,2013-12-23 17:54:41,1
2013-12-23 17:54:41,2013-12-24 07:09:34,2
2013-12-24 07:09:34,2013-12-24 17:39:39,1
2013-12-24 17:39:39,2013-12-25 07:17:20,2
2013-12-25 07:17:20,2013-12-25 17:50:20,1
2013-12-25 17:50:20,2013-12-26 07:08:27,2
2013-12-26 07:08:27,2013-12-26 17:50:53,1
2013-12-26 17:50:53,2013-12-27 07:13:53,2
2013-12-27 07:13:53,2013-12-27 17:51:53,1
2013-12-27 17:51:53,2013-12-28 07:09:33,2
2013-12-28 07:09:33,2013-12-28 18:00:52,1
2013-12-28 18:00:52,2013-12-29 07:04:33,2
2013-12-29 07:04:33,2013-12-29 18:01:17,1
2013-12-29 18:01:17,2013-12-30 07:07:19,2
2013-12-30 07:07:19,2013-12-30 18:15:19,1
2013-12-30 18:15:19,2013-12-31 07:15:32,2
2013-12-31 07:15:32,2013-12-31 17:49:38,1
2013-12-31 17:49:38,2014-01-01 07:16:36,2
2014-01-01 07:16:36,2014-01-01 17:51:03,1
2014-01-01 17:51:03,2014-01-02 07:23:19,2
2014-01-02 07:23:19,2014-01-02 17:51:51,1
2014-01-02 17:51:51,2014-01-03 07:21:00,2
2014-01-03 07:21:00,2014-01-03 17:56:02,1
2014-01-03 17:56:02,2014-01-04 07:08:51,2
2014-01-04 07:08:51,2014-01-04 17:17:56,1
2014-01-04 17:17:56,2014-01-05 07:13:18,2
2014-01-05 07:13:18,2014-01-05 18:00:18,1
2014-01-05 18:00:18,2014-01-06 07:13:51,2
2014-01-06 07:13:51,2014-01-06 18:00:51,1
2014-01-06 18:00:51,2014-01-07 07:17:41,2
2014-01-07 07:17:41,2014-01-07 17:56:28,1
2014-01-07 17:56:28,2014-01-08 07:14:31,2
2014-01-08 07:14:31,2014-01-08 18:09:36,1
2014-01-08 18:09:36,2014-01-09 07:09:31,2
2014-01-09 07:09:31,2014-01-09 18:02:55,1
2014-01-09 18:02:55,2014-01-09 19:05:43,2
2014-01-09 19:05:43,2014-01-10 07:21:50,2
2014-01-10 07:21:50,2014-01-10 18:05:50,1
2014-01-10 18:05:50,2014-01-11 07:13:50,2
2014-01-11 07:13:50,2014-01-11 18:03:18,1
2014-01-11 18:03:18,2014-01-12 07:18:50,2
2014-01-12 07:18:50,2014-01-12 18:02:17,1
2014-01-12 18:02:17,2014-01-13 07:20:38,2
