datetime,light
2014-05-29 14:39:09,79.49
2014-05-29 14:44:09,68.13
2014-05-29 14:59:09,68.13
2014-05-29 15:04:09,113.56
2014-05-29 15:09:09,56.78
2014-05-29 15:14:09,150
2014-05-29 15:19:09,79.49
2014-05-29 15:29:09,79.49
2014-05-29 15:34:09,102.2
2014-05-29 15:39:09,79.49
2014-05-29 15:44:09,68.13
2014-05-29 15:54:09,68.13
2014-05-29 15:59:09,102.2
2014-05-29 16:04:09,90.84
2014-05-29 16:14:09,90.84
2014-05-29 16:19:09,102.2
2014-05-29 16:29:09,102.2
2014-05-29 16:34:09,90.84
2014-05-29 16:39:09,90.84
2014-05-29 16:44:09,102.2
2014-05-29 16:49:09,90.84
2014-05-29 16:54:09,68.13
2014-05-29 17:09:09,68.13
2014-05-29 17:14:09,56.78
2014-05-29 17:19:09,56.78
2014-05-29 17:24:09,68.13
2014-05-29 17:29:09,150
2014-05-29 20:24:09,150
2014-05-29 20:29:09,136.27
2014-05-29 20:34:09,124.91
2014-05-29 20:39:09,68.13
2014-05-29 20:44:09,56.78
2014-05-29 20:49:09,34.07
2014-05-29 20:54:09,11.36
2014-05-30 02:19:09,11.36
2014-05-30 02:24:09,34.07
2014-05-30 02:29:09,45.42
2014-05-30 02:34:09,68.13
2014-05-30 02:39:09,79.49
2014-05-30 02:44:09,90.84
2014-05-30 02:49:09,150
2014-05-30 04:04:09,150
2014-05-30 04:09:09,45.42
2014-05-30 04:44:09,45.42
2014-05-30 04:49:09,34.07
2014-05-30 05:19:09,34.07
2014-05-30 05:24:09,150
2014-05-30 08:09:09,150
2014-05-30 08:14:09,113.56
2014-05-30 08:19:09,102.2
2014-05-30 08:24:09,79.49
2014-05-30 08:29:09,102.2
2014-05-30 08:34:09,102.2
2014-05-30 08:39:09,68.13
2014-05-30 08:44:09,56.78
2014-05-30 08:49:09,56.78
2014-05-30 08:54:09,79.49
2014-05-30 08:59:09,56.78
2014-05-30 09:04:09,150
2014-05-30 09:09:09,150
2014-05-30 09:14:09,124.91
2014-05-30 09:19:09,113.56
2014-05-30 09:24:09,68.13
2014-05-30 09:29:09,68.13
2014-05-30 09:34:09,79.49
2014-05-30 09:39:09,79.49
2014-05-30 09:44:09,150
2014-05-30 10:24:09,150
2014-05-30 10:29:09,56.78
2014-05-30 10:34:09,124.91
2014-05-30 10:39:09,147.62
2014-05-30 10:44:09,150
2014-05-30 11:04:09,150
2014-05-30 11:09:09,124.91
2014-05-30 11:14:09,150
2014-05-30 11:19:09,150
2014-05-30 11:24:09,147.62
2014-05-30 11:29:09,150
2014-05-30 13:24:09,150
2014-05-30 13:29:09,124.91
2014-05-30 13:34:09,79.49
2014-05-30 13:39:09,56.78
2014-05-30 13:44:09,56.78
2014-05-30 13:49:09,68.13
2014-05-30 13:54:09,150
2014-05-30 13:59:09,150
2014-05-30 14:04:09,102.2
2014-05-30 14:09:09,56.78
2014-05-30 14:14:09,56.78
2014-05-30 14:19:09,90.84
2014-05-30 14:24:09,68.13
2014-05-30 14:29:09,45.42
2014-05-30 14:34:09,56.78
2014-05-30 14:39:09,45.42
2014-05-30 14:49:09,45.42
2014-05-30 14:54:09,56.78
2014-05-30 14:59:09,150
2014-05-30 15:39:09,150
2014-05-30 15:44:09,56.78
2014-05-30 15:49:09,68.13
2014-05-30 15:54:09,102.2
2014-05-30 15:59:09,124.91
2014-05-30 16:04:09,90.84
2014-05-30 16:09:09,79.49
2014-05-30 16:14:09,150
2014-05-30 16:29:09,150
2014-05-30 16:34:09,136.27
2014-05-30 16:39:09,90.84
2014-05-30 16:44:09,79.49
2014-05-30 16:49:09,79.49
2014-05-30 16:54:09,68.13
2014-05-30 17:14:09,68.13
2014-05-30 17:19:09,56.78
2014-05-30 17:24:09,150
2014-05-30 17:29:09,150
2014-05-30 17:34:09,56.78
2014-05-30 17:39:09,56.78
2014-05-30 17:44:09,150
2014-05-30 17:49:09,79.49
2014-05-30 17:54:09,79.49
2014-05-30 17:59:09,68.13
2014-05-30 18:24:09,68.13
2014-05-30 18:29:09,56.78
2014-05-30 18:49:09,56.78
2014-05-30 18:54:09,45.42
2014-05-30 18:59:09,150
2014-05-30 20:34:09,150
2014-05-30 20:39:09,90.84
2014-05-30 20:44:09,90.84
2014-05-30 20:49:09,68.13
2014-05-30 20:54:09,56.78
2014-05-30 20:59:09,45.42
2014-05-30 21:04:09,11.36
2014-05-31 02:04:09,11.36
2014-05-31 02:09:09,22.71
2014-05-31 02:14:09,34.07
2014-05-31 02:19:09,56.78
2014-05-31 02:24:09,68.13
2014-05-31 02:29:09,79.49
2014-05-31 02:34:09,102.2
2014-05-31 02:39:09,90.84
2014-05-31 02:44:09,150
2014-05-31 04:29:09,150
2014-05-31 04:34:09,136.27
2014-05-31 04:39:09,150
2014-05-31 05:04:09,150
2014-05-31 05:09:09,113.56
2014-05-31 05:14:09,113.56
2014-05-31 05:19:09,102.2
2014-05-31 05:24:09,102.2
2014-05-31 05:29:09,124.91
2014-05-31 05:34:09,102.2
2014-05-31 05:39:09,113.56
2014-05-31 05:44:09,45.42
2014-05-31 05:54:09,45.42
2014-05-31 05:59:09,150
2014-05-31 06:14:09,150
2014-05-31 06:19:09,68.13
2014-05-31 06:29:09,68.13
2014-05-31 06:34:09,150
2014-05-31 06:49:09,150
2014-05-31 06:54:09,79.49
2014-05-31 06:59:09,150
2014-05-31 09:24:09,150
2014-05-31 09:29:09,124.91
2014-05-31 09:34:09,102.2
2014-05-31 09:39:09,102.2
2014-05-31 09:44:09,79.49
2014-05-31 09:59:09,79.49
2014-05-31 10:04:09,68.13
2014-05-31 10:19:09,68.13
2014-05-31 10:24:09,56.78
2014-05-31 10:29:09,56.78
2014-05-31 10:34:09,79.49
2014-05-31 10:44:09,79.49
2014-05-31 10:49:09,68.13
2014-05-31 10:59:09,68.13
2014-05-31 11:04:09,150
2014-05-31 11:09:09,90.84
2014-05-31 11:19:09,90.84
2014-05-31 11:24:09,102.2
2014-05-31 11:29:09,90.84
2014-05-31 11:34:09,90.84
2014-05-31 11:39:09,79.49
2014-05-31 11:44:09,90.84
2014-05-31 11:54:09,90.84
2014-05-31 11:59:09,68.13
2014-05-31 12:04:09,79.49
2014-05-31 12:09:09,90.84
2014-05-31 12:14:09,113.56
2014-05-31 12:19:09,102.2
2014-05-31 12:24:09,113.56
2014-05-31 12:29:09,102.2
2014-05-31 12:34:09,90.84
2014-05-31 12:39:09,150
2014-05-31 12:44:09,150
2014-05-31 12:49:09,136.27
2014-05-31 12:54:09,113.56
2014-05-31 12:59:09,79.49
2014-05-31 13:14:09,79.49
2014-05-31 13:19:09,90.84
2014-05-31 13:24:09,150
2014-05-31 14:04:09,150
2014-05-31 14:09:09,147.62
2014-05-31 14:14:09,150
2014-05-31 14:24:09,150
2014-05-31 14:29:09,136.27
2014-05-31 14:34:09,45.42
2014-05-31 16:19:09,45.42
2014-05-31 16:24:09,150
2014-05-31 16:34:09,150
2014-05-31 16:39:09,124.91
2014-05-31 16:44:09,124.91
2014-05-31 16:49:09,136.27
2014-05-31 16:54:09,102.2
2014-05-31 16:59:09,102.2
2014-05-31 17:04:09,90.84
2014-05-31 17:09:09,90.84
2014-05-31 17:14:09,102.2
2014-05-31 17:19:09,150
2014-05-31 17:24:09,90.84
2014-05-31 17:39:09,90.84
2014-05-31 17:44:09,68.13
2014-05-31 17:49:09,56.78
2014-05-31 17:59:09,56.78
2014-05-31 18:04:09,45.42
2014-05-31 18:24:09,45.42
2014-05-31 18:29:09,56.78
2014-05-31 18:34:09,45.42
2014-05-31 18:44:09,45.42
2014-05-31 18:49:09,150
2014-05-31 20:19:09,150
2014-05-31 20:24:09,102.2
2014-05-31 20:29:09,150
2014-05-31 20:34:09,136.27
2014-05-31 20:39:09,102.2
2014-05-31 20:44:09,68.13
2014-05-31 20:49:09,11.36
2014-05-31 20:54:09,34.07
2014-05-31 20:59:09,11.36
2014-06-01 02:19:09,11.36
2014-06-01 02:24:09,34.07
2014-06-01 02:29:09,45.42
2014-06-01 02:34:09,68.13
2014-06-01 02:39:09,79.49
2014-06-01 02:44:09,90.84
2014-06-01 02:49:09,113.56
2014-06-01 02:54:09,150
2014-06-01 04:04:09,150
2014-06-01 04:09:09,34.07
2014-06-01 04:34:09,34.07
2014-06-01 04:39:09,45.42
2014-06-01 05:49:09,45.42
2014-06-01 05:54:09,150
2014-06-01 05:59:09,150
2014-06-01 06:04:09,136.27
2014-06-01 06:09:09,136.27
2014-06-01 06:14:09,45.42
2014-06-01 06:49:09,45.42
2014-06-01 06:54:09,150
2014-06-01 07:09:09,150
2014-06-01 07:14:09,113.56
2014-06-01 07:19:09,90.84
2014-06-01 07:24:09,150
2014-06-01 07:29:09,56.78
2014-06-01 07:34:09,102.2
2014-06-01 07:44:09,102.2
2014-06-01 07:49:09,90.84
2014-06-01 07:54:09,90.84
2014-06-01 07:59:09,102.2
2014-06-01 08:04:09,79.49
2014-06-01 08:09:09,68.13
2014-06-01 08:14:09,136.27
2014-06-01 08:19:09,124.91
2014-06-01 08:24:09,150
2014-06-01 08:29:09,136.27
2014-06-01 08:34:09,147.62
2014-06-01 08:39:09,150
2014-06-01 08:44:09,147.62
2014-06-01 08:49:09,79.49
2014-06-01 08:54:09,113.56
2014-06-01 08:59:09,124.91
2014-06-01 09:04:09,102.2
2014-06-01 09:09:09,124.91
2014-06-01 09:14:09,150
2014-06-01 10:39:09,150
2014-06-01 10:44:09,113.56
2014-06-01 10:49:09,113.56
2014-06-01 10:54:09,136.27
2014-06-01 11:14:09,136.27
2014-06-01 11:19:09,150
2014-06-01 11:39:09,150
2014-06-01 11:44:09,124.91
2014-06-01 11:49:09,124.91
2014-06-01 11:54:09,56.78
2014-06-01 12:19:09,56.78
2014-06-01 12:24:09,45.42
2014-06-01 12:39:09,45.42
2014-06-01 12:44:09,150
2014-06-01 12:54:09,150
2014-06-01 12:59:09,45.42
2014-06-01 13:04:09,45.42
2014-06-01 13:09:09,68.13
2014-06-01 13:14:09,68.13
2014-06-01 13:19:09,56.78
2014-06-01 13:24:09,150
2014-06-01 13:29:09,150
2014-06-01 13:34:09,90.84
2014-06-01 13:39:09,113.56
2014-06-01 13:44:09,150
2014-06-01 13:49:09,150
2014-06-01 13:54:09,147.62
2014-06-01 13:59:09,150
2014-06-01 14:04:09,113.56
2014-06-01 14:09:09,79.49
2014-06-01 14:14:09,79.49
