tFirst,tSecond,type
2011-10-14 22:58:14,2011-10-15 10:50:14,2
2011-10-15 10:50:14,2011-10-15 22:55:43,1
2011-10-15 22:55:43,2011-10-16 10:50:43,2
2011-10-16 10:50:43,2011-10-16 22:56:23,1
2011-10-16 22:56:23,2011-10-17 10:51:25,2
2011-10-17 10:51:25,2011-10-17 22:52:53,1
2011-10-17 22:52:53,2011-10-18 10:49:32,2
2011-10-18 10:49:32,2011-10-18 22:44:12,1
2011-10-18 22:44:12,2011-10-19 11:00:12,2
2011-10-19 11:00:12,2011-10-19 22:49:42,1
2011-10-19 22:49:42,2011-10-20 10:55:42,2
2011-10-20 10:55:42,2011-10-20 22:50:57,1
2011-10-20 22:50:57,2011-10-21 10:57:16,2
2011-10-21 10:57:16,2011-10-21 22:51:31,1
2011-10-21 22:51:31,2011-10-22 10:58:41,2
2011-10-22 10:58:41,2011-10-22 22:45:41,1
2011-10-22 22:45:41,2011-10-23 10:54:41,2
2011-10-23 10:54:41,2011-10-23 22:58:10,1
2011-10-23 22:58:10,2011-10-24 11:08:00,2
2011-10-24 11:08:00,2011-10-24 23:04:10,1
2011-10-24 23:04:10,2011-10-25 11:09:40,2
2011-10-25 11:09:40,2011-10-25 23:12:10,1
2011-10-25 23:12:10,2011-10-26 11:12:39,2
2011-10-26 11:12:39,2011-10-26 23:08:09,1
2011-10-26 23:08:09,2011-10-27 11:10:09,2
2011-10-27 11:10:09,2011-10-27 23:02:39,1
2011-10-27 23:02:39,2011-10-28 11:12:39,2
2011-10-28 11:12:39,2011-10-28 22:50:39,1
2011-10-28 22:50:39,2011-10-29 11:15:38,2
2011-10-29 11:15:38,2011-10-29 22:55:28,1
2011-10-29 22:55:28,2011-10-30 11:16:48,2
2011-10-30 11:16:48,2011-10-30 23:00:48,1
2011-10-30 23:00:48,2011-10-31 11:20:08,2
2011-10-31 11:20:08,2011-10-31 23:05:27,1
2011-10-31 23:05:27,2011-11-01 11:14:37,2
2011-11-01 11:14:37,2011-11-01 23:03:52,1
2011-11-01 23:03:52,2011-11-02 11:13:37,2
2011-11-02 11:13:37,2011-11-02 23:04:29,1
2011-11-02 23:04:29,2011-11-03 11:10:46,2
2011-11-03 11:10:46,2011-11-03 23:01:04,1
2011-11-03 23:01:04,2011-11-04 11:10:06,2
2011-11-04 11:10:06,2011-11-04 23:01:03,1
2011-11-04 23:01:03,2011-11-05 11:13:26,2
2011-11-05 11:13:26,2011-11-05 23:02:21,1
2011-11-05 23:02:21,2011-11-06 11:12:05,2
2011-11-06 11:12:05,2011-11-06 23:03:35,1
2011-11-06 23:03:35,2011-11-07 11:10:20,2
2011-11-07 11:10:20,2011-11-07 23:04:05,1
2011-11-07 23:04:05,2011-11-08 11:10:35,2
2011-11-08 11:10:35,2011-11-08 23:02:49,1
2011-11-08 23:02:49,2011-11-09 11:11:34,2
2011-11-09 11:11:34,2011-11-09 23:03:34,1
2011-11-09 23:03:34,2011-11-10 11:11:19,2
2011-11-10 11:11:19,2011-11-10 23:00:34,1
2011-11-10 23:00:34,2011-11-11 11:11:23,2
2011-11-11 11:11:23,2011-11-11 23:02:51,1
2011-11-11 23:02:51,2011-11-12 11:15:33,2
2011-11-12 11:15:33,2011-11-12 23:03:00,1
2011-11-12 23:03:00,2011-11-13 11:15:09,2
2011-11-13 11:15:09,2011-11-13 23:02:54,1
2011-11-13 23:02:54,2011-11-14 11:14:17,2
2011-11-14 11:14:17,2011-11-14 23:02:26,1
2011-11-14 23:02:26,2011-11-15 11:14:32,2
2011-11-15 11:14:32,2011-11-15 23:00:42,1
2011-11-15 23:00:42,2011-11-16 11:14:32,2
2011-11-16 11:14:32,2011-11-16 23:02:01,1
2011-11-16 23:02:01,2011-11-17 11:14:41,2
2011-11-17 11:14:41,2011-11-17 23:01:46,1
2011-11-17 23:01:46,2011-11-18 11:17:07,2
2011-11-18 11:17:07,2011-11-18 23:00:16,1
2011-11-18 23:00:16,2011-11-19 11:18:00,2
2011-11-19 11:18:00,2011-11-19 23:04:50,1
2011-11-19 23:04:50,2011-11-20 11:19:45,2
2011-11-20 11:19:45,2011-11-20 23:01:45,1
2011-11-20 23:01:45,2011-11-21 11:16:40,2
2011-11-21 11:16:40,2011-11-21 23:00:29,1
2011-11-21 23:00:29,2011-11-22 11:17:14,2
2011-11-22 11:17:14,2011-11-22 23:01:59,1
2011-11-22 23:01:59,2011-11-23 11:19:06,2
2011-11-23 11:19:06,2011-11-23 23:02:14,1
2011-11-23 23:02:14,2011-11-24 11:18:39,2
2011-11-24 11:18:39,2011-11-24 23:00:50,1
2011-11-24 23:00:50,2011-11-25 11:23:58,2
2011-11-25 11:23:58,2011-11-25 23:04:38,1
2011-11-25 23:04:38,2011-11-26 11:21:18,2
2011-11-26 11:21:18,2011-11-26 23:04:38,1
2011-11-26 23:04:38,2011-11-27 11:21:27,2
2011-11-27 11:21:27,2011-11-27 22:58:44,1
2011-11-27 22:58:44,2011-11-28 11:21:47,2
2011-11-28 11:21:47,2011-11-28 22:59:57,1
2011-11-28 22:59:57,2011-11-29 11:25:17,2
2011-11-29 11:25:17,2011-11-29 22:58:26,1
2011-11-29 22:58:26,2011-11-30 11:22:36,2
2011-11-30 11:22:36,2011-11-30 22:59:26,1
2011-11-30 22:59:26,2011-12-01 11:30:36,2
2011-12-01 11:30:36,2011-12-01 23:01:56,1
2011-12-01 23:01:56,2011-12-02 11:25:16,2
2011-12-02 11:25:16,2011-12-02 23:00:10,1
2011-12-02 23:00:10,2011-12-03 11:25:55,2
2011-12-03 11:25:55,2011-12-03 23:01:15,1
2011-12-03 23:01:15,2011-12-04 11:27:25,2
2011-12-04 11:27:25,2011-12-04 23:01:40,1
2011-12-04 23:01:40,2011-12-05 11:27:54,2
2011-12-05 11:27:54,2011-12-05 23:02:16,1
2011-12-05 23:02:16,2011-12-06 11:29:54,2
2011-12-06 11:29:54,2011-12-06 23:00:34,1
2011-12-06 23:00:34,2011-12-07 11:30:24,2
2011-12-07 11:30:24,2011-12-07 23:00:35,1
2011-12-07 23:00:35,2011-12-08 11:30:33,2
2011-12-08 11:30:33,2011-12-08 22:59:38,1
2011-12-08 22:59:38,2011-12-09 11:29:23,2
2011-12-09 11:29:23,2011-12-09 23:00:33,1
2011-12-09 23:00:33,2011-12-10 11:30:32,2
2011-12-10 11:30:32,2011-12-10 22:59:22,1
