datetime,light
2011-07-04 01:17:53,64
2011-07-04 01:19:53,50
2011-07-04 01:21:53,36
2011-07-04 01:23:53,20
2011-07-04 01:25:53,16
2011-07-04 01:27:53,11
2011-07-04 01:29:53,6
2011-07-04 01:31:53,4
2011-07-04 01:33:53,2
2011-07-04 01:35:53,1
2011-07-04 01:37:53,1
2011-07-04 01:39:53,0
2011-07-04 09:11:53,0
2011-07-04 09:13:53,1
2011-07-04 09:15:53,2
2011-07-04 09:17:53,4
2011-07-04 09:19:53,6
2011-07-04 09:21:53,7
2011-07-04 09:23:53,14
2011-07-04 09:25:53,16
2011-07-04 09:27:53,28
2011-07-04 09:29:53,38
2011-07-04 09:31:53,64
2011-07-04 09:33:53,50
2011-07-04 09:35:53,64
2011-07-05 01:23:52,64
2011-07-05 01:25:52,48
2011-07-05 01:27:52,38
2011-07-05 01:29:52,32
2011-07-05 01:31:52,14
2011-07-05 01:33:52,8
2011-07-05 01:35:52,11
2011-07-05 01:37:52,8
2011-07-05 01:39:52,1
2011-07-05 01:41:52,1
2011-07-05 01:43:52,0
2011-07-05 09:11:52,0
2011-07-05 09:13:52,2
2011-07-05 09:15:52,2
2011-07-05 09:17:52,3
2011-07-05 09:19:52,3
2011-07-05 09:21:52,5
2011-07-05 09:23:52,10
2011-07-05 09:25:52,15
2011-07-05 09:27:52,26
2011-07-05 09:29:52,28
2011-07-05 09:31:52,44
2011-07-05 09:33:52,64
2011-07-06 01:21:52,64
2011-07-06 01:23:52,36
2011-07-06 01:25:52,30
2011-07-06 01:27:52,22
2011-07-06 01:29:52,12
2011-07-06 01:31:52,13
2011-07-06 01:33:52,7
2011-07-06 01:35:52,3
2011-07-06 01:37:52,1
2011-07-06 01:39:52,0
2011-07-06 09:17:52,0
2011-07-06 09:19:52,2
2011-07-06 09:21:52,3
2011-07-06 09:23:52,6
2011-07-06 09:25:52,8
2011-07-06 09:27:52,18
2011-07-06 09:29:52,24
2011-07-06 09:31:52,30
2011-07-06 09:33:52,32
2011-07-06 09:35:52,58
